"Story","Title","Result","Date","Stability","Duration (s)"
"Verify the correct entry to the serenity.is page","Verify correct entry","SUCCESS","2023-10-03T21:27:54.9066896-05:00[America/Bogota]","0.0","35.29"
"Verify the correct entry to the serenity.is page","Create a new Business Units","SUCCESS","2023-10-04T15:29:41.1809095-05:00[America/Bogota]","0.0","25.26"
